epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
110,13252.6,1.24194,0.89805,1.19995,0.80884,0.74281,0.81484,0.49789,1.15529,1.08602,1.07717,0.00345843,0.00345843,0.00345843
111,13369.7,1.23466,0.89479,1.1997,0.81657,0.73824,0.8153,0.49847,1.15528,1.08084,1.07707,0.00344429,0.00344429,0.00344429
112,13487.3,1.24686,0.89379,1.2032,0.81074,0.74206,0.81518,0.49859,1.15508,1.07854,1.077,0.00343014,0.00343014,0.00343014
113,13604.4,1.23761,0.89736,1.19979,0.81124,0.74323,0.81577,0.49851,1.15506,1.07613,1.07692,0.003416,0.003416,0.003416
114,13721.1,1.24137,0.89547,1.20137,0.81085,0.74293,0.81599,0.49883,1.15482,1.07626,1.07678,0.00340186,0.00340186,0.00340186
115,13837.8,1.2348,0.89088,1.1958,0.80928,0.74199,0.81596,0.49897,1.15507,1.06903,1.0766,0.00338771,0.00338771,0.00338771
116,13955.2,1.23954,0.88945,1.19796,0.80927,0.74377,0.81622,0.49916,1.15517,1.06635,1.07651,0.00337357,0.00337357,0.00337357
117,14072.2,1.23001,0.88979,1.19374,0.8129,0.74239,0.81622,0.4992,1.15486,1.05979,1.07647,0.00335943,0.00335943,0.00335943
118,14189.3,1.2369,0.88864,1.20024,0.81134,0.74316,0.81683,0.49958,1.15449,1.05171,1.07643,0.00334529,0.00334529,0.00334529
119,14306.4,1.23473,0.888,1.19458,0.81221,0.74328,0.81727,0.49976,1.15421,1.04842,1.07649,0.00333114,0.00333114,0.00333114
120,14423.7,1.22485,0.8826,1.19208,0.81396,0.74108,0.8173,0.49998,1.15432,1.04357,1.07649,0.003317,0.003317,0.003317
121,14540.9,1.22408,0.87537,1.18798,0.81475,0.74225,0.81751,0.50041,1.15413,1.03586,1.07621,0.00330286,0.00330286,0.00330286
122,14658.3,1.23827,0.88362,1.19719,0.81446,0.74355,0.81798,0.50062,1.1543,1.03203,1.07637,0.00328871,0.00328871,0.00328871
