epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
81,9542.62,1.29303,0.97545,1.23879,0.81086,0.73505,0.81489,0.49759,1.16848,1.14257,1.11062,0.00386857,0.00386857,0.00386857
82,9660.38,1.28867,0.97217,1.23575,0.80972,0.73653,0.81507,0.49761,1.16836,1.13978,1.11048,0.00385443,0.00385443,0.00385443
83,9778.88,1.28812,0.97807,1.23576,0.81186,0.73456,0.8157,0.49818,1.16816,1.13699,1.11035,0.00384029,0.00384029,0.00384029
84,9896.86,1.28773,0.97078,1.23249,0.81246,0.73362,0.81555,0.49833,1.16792,1.13516,1.11034,0.00382614,0.00382614,0.00382614
85,10014.8,1.29323,0.96675,1.23316,0.81166,0.73647,0.81625,0.49846,1.16735,1.13423,1.11005,0.003812,0.003812,0.003812
86,10132.6,1.28646,0.95908,1.22675,0.81234,0.73756,0.81643,0.49864,1.16764,1.13537,1.11053,0.00379786,0.00379786,0.00379786
87,10250.3,1.28008,0.96579,1.23039,0.81555,0.7376,0.81679,0.4988,1.1676,1.13403,1.11036,0.00378371,0.00378371,0.00378371
88,10367.7,1.28673,0.96252,1.23131,0.81616,0.7376,0.81686,0.49898,1.16729,1.13109,1.11028,0.00376957,0.00376957,0.00376957
89,10485.4,1.27508,0.96005,1.22906,0.81524,0.7388,0.8169,0.49891,1.1667,1.12933,1.10998,0.00375543,0.00375543,0.00375543
90,10603,1.28115,0.95433,1.22735,0.81554,0.73616,0.81663,0.4991,1.16602,1.12652,1.10936,0.00374129,0.00374129,0.00374129
91,10720.5,1.2784,0.94855,1.22419,0.81832,0.73668,0.81662,0.49931,1.1655,1.12616,1.10852,0.00372714,0.00372714,0.00372714
92,10837.8,1.27657,0.94449,1.22343,0.82195,0.73474,0.81695,0.49923,1.16553,1.12534,1.10836,0.003713,0.003713,0.003713
93,10955.4,1.27395,0.94631,1.2213,0.81781,0.73742,0.81718,0.49945,1.16528,1.12123,1.10811,0.00369886,0.00369886,0.00369886
94,11072.7,1.27294,0.94141,1.22085,0.81683,0.73785,0.81705,0.49944,1.16532,1.11871,1.108,0.00368471,0.00368471,0.00368471
95,11190.4,1.27195,0.94286,1.22184,0.81912,0.7348,0.81689,0.50007,1.1647,1.11612,1.10767,0.00367057,0.00367057,0.00367057
96,11308,1.26607,0.94171,1.2172,0.81909,0.73454,0.81686,0.50015,1.16467,1.1128,1.10742,0.00365643,0.00365643,0.00365643
97,11425.8,1.26179,0.94026,1.22093,0.8169,0.73563,0.81617,0.50043,1.16409,1.10958,1.10717,0.00364229,0.00364229,0.00364229
98,11543.2,1.26965,0.94101,1.21908,0.81915,0.7339,0.81616,0.50026,1.16389,1.10792,1.107,0.00362814,0.00362814,0.00362814
99,11660.9,1.26422,0.92727,1.21582,0.8176,0.73407,0.81619,0.50043,1.16371,1.10738,1.10695,0.003614,0.003614,0.003614
100,11778.1,1.26559,0.93225,1.21269,0.81621,0.73391,0.81634,0.50084,1.16309,1.10502,1.10648,0.00359986,0.00359986,0.00359986
101,11895.5,1.26373,0.92814,1.21392,0.8173,0.73421,0.81674,0.50132,1.16319,1.10267,1.10641,0.00358571,0.00358571,0.00358571
102,12013.3,1.26124,0.92784,1.21314,0.81731,0.73387,0.8169,0.50131,1.16322,1.10079,1.10665,0.00357157,0.00357157,0.00357157
